ID,email,text,category
1,markharrington@yahoo.com,"Bought a new keyboard, and it's already giving me the silent treatment.",PERIPHERAL_COMPATIBILITY
2,smontgomery@gmail.com,"This app crashes more than my diet plans. Bug fix, please?",SOFTWARE_BUG
3,bakerjohn@gmail.com,"Bought a new keyboard, and it's already giving me the silent treatment.",PERIPHERAL_COMPATIBILITY
4,derricktrujillo@gonzales-williams.com,"Got full bars, but the internet's playing hard to get.",NETWORK_PROBLEM
5,paul16@smith.net,My phone's battery is dying faster than my social life. What's up with that?,BATTERY_LIFE
6,derrick94@gmail.com,My phone's battery is dying faster than my social life. What's up with that?,BATTERY_LIFE
7,brownsean@yahoo.com,I think my new gadget hates me. Won't set up properly.,PRODUCT_SETUP
8,barrettchristie@carroll-delgado.net,Trying to install this software and... I'm lost. Halp?,INSTALLATION_SUPPORT
9,robynfrye@cooper-williams.com,Trying to install this software and... I'm lost. Halp?,INSTALLATION_SUPPORT
10,christina74@hotmail.com,My new headphones and my phone are not talking. Can you mediate?,PERIPHERAL_COMPATIBILITY
11,andrewgill@tucker.com,Is it normal for my gadget to lose battery like I lose my keys? Every. Single. Day.,BATTERY_LIFE
12,brendadaniel@yahoo.com,"My package is playing hide and seek, and I'm losing. Where is it?",DELIVERY_PROBLEM
13,melissa74@white-long.net,This device isn’t meshing with my setup. Compatibility tips?,PRODUCT_COMPATIBILITY
14,petersmichelle@hotmail.com,"My package is playing hide and seek, and I'm losing. Where is it?",DELIVERY_PROBLEM
15,lesliefrank@brooks.com,In dire need of something that doesn’t break in 2 days. Any suggestions?,PRODUCT_RECOMMENDATION
16,taylorbarbara@yahoo.com,"Half the time, my display is like, 'Nah, I'm out.' Fixable?",DISPLAY_ISSUE
17,howard35@blackwell.org,"Bought a new keyboard, and it's already giving me the silent treatment.",PERIPHERAL_COMPATIBILITY
18,philip06@walker.info,My files pulled a Houdini on me post-update. Help!,DATA_LOSS
19,zdennis@gmail.com,My new headphones and my phone are not talking. Can you mediate?,PERIPHERAL_COMPATIBILITY
20,hsmith@moore-martinez.net,"This app crashes more than my diet plans. Bug fix, please?",SOFTWARE_BUG
21,peterrobinson@yahoo.com,"Hey there, I can't seem to log into my account. I'm sure I've got the right password!",ACCOUNT_ACCESS
22,lukemeza@fletcher-lloyd.org,Trying to install this software and... I'm lost. Halp?,INSTALLATION_SUPPORT
23,jennifer78@hotmail.com,"My payment went through twice. Double the fun, double the bill?",PAYMENT_ISSUE
24,jessicamiller@gmail.com,"Half the time, my display is like, 'Nah, I'm out.' Fixable?",DISPLAY_ISSUE
25,jwood@spencer.com,My files pulled a Houdini on me post-update. Help!,DATA_LOSS
26,jesusmoran@hotmail.com,"My package is playing hide and seek, and I'm losing. Where is it?",DELIVERY_PROBLEM
27,harold95@cruz.com,Setting this up is harder than assembling IKEA furniture. Help!,PRODUCT_SETUP
28,gary68@sanford-cox.info,I wanna cancel my order. Haven't received it and I'm already over it.,CANCELLATION_REQUEST
29,awhite@yahoo.com,Is it normal for my gadget to lose battery like I lose my keys? Every. Single. Day.,BATTERY_LIFE
30,jamesprice@hernandez.biz,Wi-Fi drops more often than my friends on a Friday night.,NETWORK_PROBLEM
31,rbrown@koch.com,My device is hotter than a summer in the Sahara. Should I be worried?,HARDWARE_ISSUE
32,christopher75@smith-anderson.com,I think my new gadget hates me. Won't set up properly.,PRODUCT_SETUP
33,allenscott@gmail.com,"Not to be dramatic, but I regret this purchase. Refund?",REFUND_REQUEST
34,nclarke@gmail.com,My new headphones and my phone are not talking. Can you mediate?,PERIPHERAL_COMPATIBILITY
35,jesse66@yahoo.com,In dire need of something that doesn’t break in 2 days. Any suggestions?,PRODUCT_RECOMMENDATION
36,brittany98@hotmail.com,"Not to be dramatic, but I regret this purchase. Refund?",REFUND_REQUEST
37,amanda40@ingram-martinez.info,My new headphones and my phone are not talking. Can you mediate?,PERIPHERAL_COMPATIBILITY
38,garciaheather@peck-hill.info,I wanna cancel my order. Haven't received it and I'm already over it.,CANCELLATION_REQUEST
39,francischristopher@gmail.com,My new headphones and my phone are not talking. Can you mediate?,PERIPHERAL_COMPATIBILITY
40,marquezjenny@williams.com,I think my new gadget hates me. Won't set up properly.,PRODUCT_SETUP
41,justin82@wade.com,Wi-Fi drops more often than my friends on a Friday night.,NETWORK_PROBLEM
42,kimberlybrown@terrell.biz,My new headphones and my phone are not talking. Can you mediate?,PERIPHERAL_COMPATIBILITY
43,tina12@gmail.com,Installation wizard? More like installation muggle. Can't get it to work.,INSTALLATION_SUPPORT
44,melissa18@gmail.com,This device isn’t meshing with my setup. Compatibility tips?,PRODUCT_COMPATIBILITY
45,hamptonkyle@griffin.com,My screen flickers more than my living room lights. Any tips?,DISPLAY_ISSUE
46,gabriel34@campos-green.com,My files pulled a Houdini on me post-update. Help!,DATA_LOSS
47,williamsjessica@keith.info,"This app crashes more than my diet plans. Bug fix, please?",SOFTWARE_BUG
48,kathleen13@thompson.com,Is it normal for my gadget to lose battery like I lose my keys? Every. Single. Day.,BATTERY_LIFE
49,charlesrichards@waters-miller.org,Wi-Fi drops more often than my friends on a Friday night.,NETWORK_PROBLEM
50,kdavis@brown-white.com,Looking for the holy grail of gadgets. Got any leads?,PRODUCT_RECOMMENDATION
51,mmerritt@yahoo.com,"It keeps freezing. I mean my device, not the weather.",HARDWARE_ISSUE
52,dsmith@reyes-cruz.biz,"My payment went through twice. Double the fun, double the bill?",PAYMENT_ISSUE
53,eroberts@levy.com,I think my new gadget hates me. Won't set up properly.,PRODUCT_SETUP
54,joshua08@bowers-davis.com,"Hey there, I can't seem to log into my account. I'm sure I've got the right password!",ACCOUNT_ACCESS
55,darrylrussell@yahoo.com,My device is hotter than a summer in the Sahara. Should I be worried?,HARDWARE_ISSUE
56,dfleming@rhodes.org,My phone's battery is dying faster than my social life. What's up with that?,BATTERY_LIFE
57,tylerwhitney@hamilton.biz,"My payment went through twice. Double the fun, double the bill?",PAYMENT_ISSUE
58,whernandez@richardson.com,My device is hotter than a summer in the Sahara. Should I be worried?,HARDWARE_ISSUE
59,lopezjohnny@yahoo.com,My phone's battery is dying faster than my social life. What's up with that?,BATTERY_LIFE
60,leetimothy@hotmail.com,My phone's battery is dying faster than my social life. What's up with that?,BATTERY_LIFE
61,andrew42@yahoo.com,Is it normal for my gadget to lose battery like I lose my keys? Every. Single. Day.,BATTERY_LIFE
62,jason88@moore.info,"Got full bars, but the internet's playing hard to get.",NETWORK_PROBLEM
63,hopkinskaylee@hotmail.com,My gadgets are like me at social events. Not mixing well. Advice?,PRODUCT_COMPATIBILITY
64,samantha54@ball.com,"It keeps freezing. I mean my device, not the weather.",HARDWARE_ISSUE
65,richard30@matthews-duncan.info,My gadgets are like me at social events. Not mixing well. Advice?,PRODUCT_COMPATIBILITY
66,stefanie26@yahoo.com,Looks like my order decided to take a world tour. Still not here!,DELIVERY_PROBLEM
67,cmitchell@hotmail.com,"My package is playing hide and seek, and I'm losing. Where is it?",DELIVERY_PROBLEM
