ID,email,text,category
1,markharrington@yahoo.com,The accessories I purchased are not compatible with my device.,PERIPHERAL_COMPATIBILITY
2,smontgomery@gmail.com,I've encountered a bug in the software that causes the application to crash.,SOFTWARE_BUG
3,bakerjohn@gmail.com,The accessories I purchased are not compatible with my device.,PERIPHERAL_COMPATIBILITY
4,derricktrujillo@gonzales-williams.com,I'm experiencing connectivity issues despite having a strong signal.,NETWORK_PROBLEM
5,paul16@smith.net,The battery life of my device is much shorter than expected.,BATTERY_LIFE
6,derrick94@gmail.com,The battery life of my device is much shorter than expected.,BATTERY_LIFE
7,brownsean@yahoo.com,I'm having difficulty setting up my new device following the instructions provided.,PRODUCT_SETUP
8,barrettchristie@carroll-delgado.net,I'm having trouble installing the software that came with my product.,INSTALLATION_SUPPORT
9,robynfrye@cooper-williams.com,I'm having trouble installing the software that came with my product.,INSTALLATION_SUPPORT
10,christina74@hotmail.com,The accessories I purchased are not compatible with my device.,PERIPHERAL_COMPATIBILITY
11,andrewgill@tucker.com,The battery life of my device is much shorter than expected.,BATTERY_LIFE
12,brendadaniel@yahoo.com,My order has not arrived on the expected delivery date.,DELIVERY_PROBLEM
13,melissa74@white-long.net,I'm having trouble getting my new device to work with my existing setup.,PRODUCT_COMPATIBILITY
14,petersmichelle@hotmail.com,My order has not arrived on the expected delivery date.,DELIVERY_PROBLEM
15,lesliefrank@brooks.com,I'm looking for a product that meets specific requirements.,PRODUCT_RECOMMENDATION
16,taylorbarbara@yahoo.com,The display has flickering issues and sometimes goes black.,DISPLAY_ISSUE
17,howard35@blackwell.org,The accessories I purchased are not compatible with my device.,PERIPHERAL_COMPATIBILITY
18,philip06@walker.info,I've experienced data loss after the latest software update.,DATA_LOSS
19,zdennis@gmail.com,The accessories I purchased are not compatible with my device.,PERIPHERAL_COMPATIBILITY
20,hsmith@moore-martinez.net,I've encountered a bug in the software that causes the application to crash.,SOFTWARE_BUG
21,peterrobinson@yahoo.com,I cannot log into my account despite using the correct credentials.,ACCOUNT_ACCESS
22,lukemeza@fletcher-lloyd.org,I'm having trouble installing the software that came with my product.,INSTALLATION_SUPPORT
23,jennifer78@hotmail.com,"There was an error processing my payment, and I was charged twice.",PAYMENT_ISSUE
24,jessicamiller@gmail.com,The display has flickering issues and sometimes goes black.,DISPLAY_ISSUE
25,jwood@spencer.com,I've experienced data loss after the latest software update.,DATA_LOSS
26,jesusmoran@hotmail.com,My order has not arrived on the expected delivery date.,DELIVERY_PROBLEM
27,harold95@cruz.com,I'm having difficulty setting up my new device following the instructions provided.,PRODUCT_SETUP
28,gary68@sanford-cox.info,I would like to cancel my order but can't find the option to do so.,CANCELLATION_REQUEST
29,awhite@yahoo.com,The battery life of my device is much shorter than expected.,BATTERY_LIFE
30,jamesprice@hernandez.biz,I'm experiencing connectivity issues despite having a strong signal.,NETWORK_PROBLEM
31,rbrown@koch.com,My device is overheating and shuts down frequently.,HARDWARE_ISSUE
32,christopher75@smith-anderson.com,I'm having difficulty setting up my new device following the instructions provided.,PRODUCT_SETUP
33,allenscott@gmail.com,I would like to request a refund as the product does not meet my expectations.,REFUND_REQUEST
34,nclarke@gmail.com,The accessories I purchased are not compatible with my device.,PERIPHERAL_COMPATIBILITY
35,jesse66@yahoo.com,I'm looking for a product that meets specific requirements.,PRODUCT_RECOMMENDATION
36,brittany98@hotmail.com,I would like to request a refund as the product does not meet my expectations.,REFUND_REQUEST
37,amanda40@ingram-martinez.info,The accessories I purchased are not compatible with my device.,PERIPHERAL_COMPATIBILITY
38,garciaheather@peck-hill.info,I would like to cancel my order but can't find the option to do so.,CANCELLATION_REQUEST
39,francischristopher@gmail.com,The accessories I purchased are not compatible with my device.,PERIPHERAL_COMPATIBILITY
40,marquezjenny@williams.com,I'm having difficulty setting up my new device following the instructions provided.,PRODUCT_SETUP
41,justin82@wade.com,I'm experiencing connectivity issues despite having a strong signal.,NETWORK_PROBLEM
42,kimberlybrown@terrell.biz,The accessories I purchased are not compatible with my device.,PERIPHERAL_COMPATIBILITY
43,tina12@gmail.com,I'm having trouble installing the software that came with my product.,INSTALLATION_SUPPORT
44,melissa18@gmail.com,I'm having trouble getting my new device to work with my existing setup.,PRODUCT_COMPATIBILITY
45,hamptonkyle@griffin.com,The display has flickering issues and sometimes goes black.,DISPLAY_ISSUE
46,gabriel34@campos-green.com,I've experienced data loss after the latest software update.,DATA_LOSS
47,williamsjessica@keith.info,I've encountered a bug in the software that causes the application to crash.,SOFTWARE_BUG
48,kathleen13@thompson.com,The battery life of my device is much shorter than expected.,BATTERY_LIFE
49,charlesrichards@waters-miller.org,I'm experiencing connectivity issues despite having a strong signal.,NETWORK_PROBLEM
50,kdavis@brown-white.com,I'm looking for a product that meets specific requirements.,PRODUCT_RECOMMENDATION
51,mmerritt@yahoo.com,My device is overheating and shuts down frequently.,HARDWARE_ISSUE
52,dsmith@reyes-cruz.biz,"There was an error processing my payment, and I was charged twice.",PAYMENT_ISSUE
53,eroberts@levy.com,I'm having difficulty setting up my new device following the instructions provided.,PRODUCT_SETUP
54,joshua08@bowers-davis.com,I cannot log into my account despite using the correct credentials.,ACCOUNT_ACCESS
55,darrylrussell@yahoo.com,My device is overheating and shuts down frequently.,HARDWARE_ISSUE
56,dfleming@rhodes.org,The battery life of my device is much shorter than expected.,BATTERY_LIFE
57,tylerwhitney@hamilton.biz,"There was an error processing my payment, and I was charged twice.",PAYMENT_ISSUE
58,whernandez@richardson.com,My device is overheating and shuts down frequently.,HARDWARE_ISSUE
59,lopezjohnny@yahoo.com,The battery life of my device is much shorter than expected.,BATTERY_LIFE
60,leetimothy@hotmail.com,The battery life of my device is much shorter than expected.,BATTERY_LIFE
61,andrew42@yahoo.com,The battery life of my device is much shorter than expected.,BATTERY_LIFE
62,jason88@moore.info,I'm experiencing connectivity issues despite having a strong signal.,NETWORK_PROBLEM
63,hopkinskaylee@hotmail.com,I'm having trouble getting my new device to work with my existing setup.,PRODUCT_COMPATIBILITY
